INT_ID^RMUID_FUNCTION^ZH_LABEL^VENDOR^RMUID^NETWORK_IP^SOFTWARE_VERSION^STATUS^VNF_EXAMPLE_FLAGE^NETWORK_IPV6^HOST_DOMAIN_FLAGE^CAPACITY^MAX_USER_NUM^BIZ_TYPE^LAST_UPDATE_TIME^ASCRIPTION_POOL^IF_VNE^PROV_COVER^CITY_COVER^COVER_PROVINCE^ACCESS_TIME^COVER_CITY^RELATED_SECTION_NO_LIST^RELATED_CORE_SECTION_LIST^CITY_ID^NFVO_ID^COUNTY_ID^OMC^N5_IPADDRESS^MAINT_PROV^QUALITOR^N5_IPV6^STATEFLAG^N7_IPADDRESS^N7_IPV6^CREATOR^N15_IPADDRESS^N15_IPV6^MODIFIER^MODIFY_TIME^TIME_STAMP^REMARK^CREAT_TIME
4910859351^5101HWHX4MNE3221287459^APP-XBXAxnqPCFm001PCF002AHW-04AHW012^99007^^^20.3.3.38^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
4910859353^5101HWHX4MNE3221287237^APP-XBXAynPCF001PCF002BHW-04AHW011^99007^^^20.5.1.21^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
4910859358^5100ZTHX2MNE8Q9GWS^APP-XBXAynPCF001PCF002BZX-05AZX012^99008^^^V7.18.13^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
4910859359^5100ZTHX1MNE60GMVJ^APP-XBXAynPCF002BZX-02AZX011^99008^^^V7.18.13^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
4910859356^5101HWHX4MNE3221287233^APP-XBXAynPCF002PCF002BHW-04AHW012^99007^^^20.5.1.21^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
4910859349^5100ZTHX2MNE3ZM176^APP-XBXAynPCF002PCF002BZX-03AZX011^99008^^^V7.18.13^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
4910859350^5101HWHX4MNE3221287258^APP-XNCDxnqPCFm001PCF001AHW-07AHW011^99007^^^20.3.3.38^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
4910859352^5101HWHX4MNE3221287235^APP-XNCDynPCF001PCF001BHW-07AHW011^99007^^^20.5.1.21^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
4910859354^5100ZTHX2MNE3A6UEC^APP-XNCDynPCF001PCF001BZX-05AZX012^99008^^^V7.18.13^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
4910859355^5101HWHX4MNE3221287239^APP-XNCDynPCF002PCF001BHW-07AHW012^99007^^^20.5.1.21^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
4910859357^5100ZTHX2MNE49MKEE^APP-XNCDynPCF002PCF001BZX-05AZX012^99008^^^V7.18.13^在网^^^^^^^^^^^^^2022-01-04 17:44:56^^^^2^^^^^^^^0^^^system^^^system^2022-01-04 17:45:01^^^2022-01-04 17:44:56
